Titulo;Ano;Pais;Genero
Pequeña Miss Sunshine;2006;USA;Drama, Comedia, Aventuras
Perdición;1944;USA;Thriller, Policial (crimen), C
Persuasión (Jane Austen);1995;;Drama, Romántica
Pickpocket;1959;France;Thriller, Drama, Policial (cri
Picnic;1955;USA;Drama, Romántica
Pink Floyd The Wall;1982;UK;Drama, Música•
Plácido;1961;Spain;Comedia
Polonia - Temporada 1;2006;Spain;Comedia
Poltergeist;1982;USA;Horror, Fantasía
Primavera, verano, otoño, invi;2003;South Korea;Drama
Puerta de las lilas;1957;France;Drama, Policial (crimen), Romá
Quantum of Solace;2008;UK;Acción, Thriller, Aventuras
Qué bello es vivir!;1946;USA;Drama, Fantasía, Romántica
Que el cielo la juzgue;1945;USA;Thriller, Drama, Cine Negro
Qué ocurrió entre mi padre y t;1972;USA;Comedia, Romántica
Qué verde era mi valle!;1941;USA;Drama, Familiar
Querido detective;1986;USA;Acción, Thriller, Comedia, Pol
Quills;2000;USA;Drama, Romántica, Historia, Bi
Ragtime - Temporada 1;1982;usa;Acción, Familiar
Rebelde sin causa;1955;USA;Drama, Romántica
Recursos humanos;1999;France;Drama
Retorno al pasado;1947;USA;Thriller, Drama, Cine Negro
Roma, ciudad abierta;1945;Italy;Drama, Bélica
Romeo debe morir;2000;USA;Acción, Thriller, Drama, Polic
Sacrificio;1986;Sweden;Drama
Salvador (Puig Antich);2006;Spain;Drama
Salvar al soldado Ryan;1998;USA;Acción, Drama, Bélica, Histori
Sangre fácil;1984;USA;Thriller, Drama, Policial (cri
Sangre, sudor y lágrimas;1942;UK;Drama, Bélica
Sangre y arena;1941;USA;Drama, Deportes
Tsubaki Sanjüró;1962;Japan;Acción, Thriller, Drama
Saraband;2003;Sweden;Drama, Música
Secretos del corazón;1997;France;Drama
Secretos y mentiras;1996;France;Drama, Comedia
Sentido y sensibilidad;1995;USA;Drama, Romántica
Señales del futuro;2009;USA;Thriller, Drama, Ciencia Ficci
Ser o no ser;1942;USA;Drama, Comedia, Bélica
Shoah;1985;France;Documental
Sin amor;1945;USA;Comedia, Romántica
Yes Minister - Temporada 1;1980;UK;Comedia
Sin conciencia;1951;USA;Drama, Policial (crimen), Cine
Sin novedad en el frente;1930;USA;Acción, Drama, Bélica, Histori
Sirenas;1993;Australia;Drama, Comedia
Sitiados;1950;USA;Drama, Bélica
Smoking Room;2002;Spain;Drama
Solo ante el peligro;1952;USA;Drama, Lejano Oeste
Sólo el cielo lo sabe;1955;USA;Drama, Romántica
Sólo mía;2001;Spain;Drama
Stromboli, tierra de Dios;1950;Italy;Drama
Su juego favorito;1964;USA;Comedia, Romántica
Sueños;1955;Sweden;Drama
Swimming Pool;2003;France;Thriller, Drama, Policial (cri
Tambores lejanos;1951;USA;Acción, Lejano Oeste
Tango;1998;Spain;Drama, Musical
Te querré siempre;1954;Italy;Drama
Tener y no tener;1944;USA;Thriller, Música, Aventuras, B
