Título,Año,País
Luna de Avellaneda,2004,Argentina
Luna nueva,1940,USA
Lunas de hiel,1992,France
Macarroni,,Norway
Madayo,1993,Japan
Madres e hijas (copia pirata),2009,USA
Mamá cumple cien años,1979,Spain
Manhattan,1979,USA
Mansfíeld Park,1999,UK
Manuale d'amore,2005,Italy
Marius y Jeannette (un amor en,1997,France
Martín (Hache),1997,Spain
Master and commander: Al otro,2003,USA
Matar a un ruiseñor,1962,USA
Matrix,1999,USA
Matrix Reloaded,2003,USA
"Matrix Revolutions, The",2003,Australia
Mayerling,1968,France
Me linda y Melinda,2004,USA
Melodías de Broadway,1953,USA
Memorias de África,1985,USA
Mii mejor amigo,2006,France
Michael Clayton,2007,USA
Milagro en Milán,1951,Italy
Million Dollar Baby,2004,USA
Misery,1990,USA
Moulin Rouge,2001,USA
Mrs. Henderson presenta,2005,UK
Muerte de un ciclista,1955,Spain
Muerte de un viajante,1985,USA
Muerte en Venecia,1971,Italy
Mujeres en Venecia,1967,USA
Mystic River,2003,USA
Narciso negro,1947,UK
Nazarín,1959,México
"New York, New York",1977,USA
Niágara,1953,USA
Gycklarnas afton. Noche de cir,1953,Sweden
Nueve reinas,2000,Argentina
Obsesión,1954,usa
Ocean's eleven. Hagan juego,2001,USA
ochenta y ocho minutos,1998,USA
Octubre,1928,Soviet Union
Oliver Twist (catalan),2005,UK
Oliver twist,1922,USA
Opera prima,1980,Spain
Operación Cicerón,1952,USA
Operación Pacífico,1959,USA
Operación Whisky,1964,USA
Ordet (La palabra),1955,Denmark
orgullo y prejuicio,,UK
"Oro, amor y sangre",1940,USA
Osama,2003,Afghanistan
Pajaritos y pajarracos,1966,Italy
Palabra y utopía,2000,Spain
"Pan, amor y celos",1954,Italy
"Pan, amor y fantasía",1953,Italy
Papillon,1973,USA
Para todos los gustos,2000,France
"Paris, Texas",1984,West Germany
Pather Panchali,1955,India
Patrimonio nacional,1981,Spain
"Pepi, Luci, Bom y otras chicas",1980,Spain
Pequeña Miss Sunshine,2006,USA
Perdición,1944,USA
Persuasión (Jane Austen),1995,
Pickpocket,1959,France
Picnic,1955,USA
Pink Floyd The Wall,1982,UK
Plácido,1961,Spain
Polonia - Temporada 1,2006,Spain
Poltergeist,1982,USA
"Primavera, verano, otoño, invi",2003,South Korea
Puerta de las lilas,1957,France
Quantum of Solace,2008,UK
Qué bello es vivir!,1946,USA
Que el cielo la juzgue,1945,USA
Qué ocurrió entre mi padre y t,1972,USA
Qué verde era mi valle!,1941,USA
Querido detective,1986,USA
Quills,2000,USA
Ragtime - Temporada 1,1982,usa
Rebelde sin causa,1955,USA
Recursos humanos,1999,France
Retorno al pasado,1947,USA
"Roma, ciudad abierta",1945,Italy
Romeo debe morir,2000,USA
Sacrificio,1986,Sweden
Salvador (Puig Antich),2006,Spain
Salvar al soldado Ryan,1998,USA
Sangre fácil,1984,USA
"Sangre, sudor y lágrimas",1942,UK
Sangre y arena,1941,USA
Tsubaki Sanjüró,1962,Japan
Saraband,2003,Sweden
Secretos del corazón,1997,France
Secretos y mentiras,1996,France
Sentido y sensibilidad,1995,USA
Señales del futuro,2009,USA
Ser o no ser,1942,USA
Shoah,1985,France
Sin amor,1945,USA
Yes Minister - Temporada 1,1980,UK
Sin conciencia,1951,USA
Sin novedad en el frente,1930,USA
